CARAVANA,Nombre,Fecha Nac.,PADRE,CE,KG
1465,OBT LIDER 1465,22/11/2020,LIDER,38,724
1482,OBT LIDER 1482,6/11/2020,LIDER,40.5,736
1525,OBT REIGN 1625,3/11/2020,REIGN,40.5,732
1563,OBT Lider 1563,11/11/2020,LIDER,39.5,632
1615,OBT Rainfall 1615,11/10/2021,RAINFALL,40,676
1618,OBT Rainfall 1615,11/10/2021,RAINFALL,43,658
1626,OBT REIGN1626,13/10/2021,REIGN,38,640
1641,OBT Charlo 1641,9/9/2021,Charlo,36,620
1656,OBT BLUE PRINT 1656,13/11/2021,BLUE PRINT,37,706
1666,OBT Charlo 1666,27/10/2021,Charlo,40,662
1693,OBT SERRUCHO 1693,22/10/2021,SERRUCHO,43,618
1711,OBT ASHLAND 1711,29/1/2022,ASHLAND,39.5,620
